year,month,station_id,rrr24
1990,1,40708,50.0
1990,2,40708,31.3
1990,3,40708,47.12
1990,4,40708,51.61
1990,5,40708,8.7
1990,6,40708,4.2
1990,7,407cd 08,0.44
1990,8,40708,1.21
1990,9,40708,0.8
1990,10,40708,33.51
1990,11,40708,4.02
1990,12,40708,35.6
1991,1,40708,15.82
1991,2,40708,22.12
1991,3,40708,93.8
1991,4,40708,12.71
1991,5,40708,53.7
1991,6,40708,13.2
1991,7,40708,4.01
1991,8,40708,0.41
1991,9,40708,0.0
1991,10,40708,11.6
1991,11,40708,14.8
1991,12,40708,33.91
1992,1,40708,14.23
1992,2,40708,22.25
1992,3,40708,25.35
1992,4,40708,91.3
1992,5,40708,43.88
1992,6,40708,72.82
1992,7,40708,9.61
1992,8,40708,20.41
1992,9,40708,10.8
1992,10,40708,5.33
1992,11,40708,54.21
1992,12,40708,35.43
1993,1,40708,30.54
1993,2,40708,44.52
1993,3,40708,46.35
1993,4,40708,23.33
1993,5,40708,39.14
1993,6,40708,39.91
1993,7,40708,5.3
1993,8,40708,8.52
1993,9,40708,0.82
1993,10,40708,17.56
1993,11,40708,112.02
1993,12,40708,27.82
1994,1,40708,12.65
1994,2,40708,15.06
1994,3,40708,28.63
1994,4,40708,25.13
1994,5,40708,49.52
1994,6,40708,9.63
1994,7,40708,1.63
1994,8,40708,0.41
1994,9,40708,2.45
1994,10,40708,18.35
1994,11,40708,150.81
1994,12,40708,11.34
1995,1,40708,17.53
1995,2,40708,19.13
1995,3,40708,29.41
1995,4,40708,33.5
1995,5,40708,13.61
1995,6,40708,25.33
1995,7,40708,2.61
1995,8,40708,0.53
1995,9,40708,45.13
1995,10,40708,25.08
1995,11,40708,2.02
1995,12,40708,8.44
1996,1,40708,23.92
1996,2,40708,26.64
1996,3,40708,33.43
1996,4,40708,57.16
1996,5,40708,38.03
1996,6,40708,4.22
1996,7,40708,1.02
1996,8,40708,2.13
1996,9,40708,10.03
1996,10,40708,18.41
1996,11,40708,24.24
1996,12,40708,6.43
1997,1,40708,51.61
1997,2,40708,39.72
1997,3,40708,80.84
1997,4,40708,4.94
1997,5,40708,37.07
1997,6,40708,52.07
1997,7,40708,34.43
1997,8,40708,0.03
1997,9,40708,16.32
1997,10,40708,18.43
1997,11,40708,23.02
1997,12,40708,16.41
1998,1,40708,65.02
1998,2,40708,58.52
1998,3,40708,23.23
1998,4,40708,40.71
1998,5,40708,56.52
1998,6,40708,10.61
1998,7,40708,6.23
1998,8,40708,1.41
1998,9,40708,5.83
1998,10,40708,16.71
1998,11,40708,18.5
1998,12,40708,22.42
1999,1,40708,17.11
1999,2,40708,3.81
1999,3,40708,35.81
1999,4,40708,33.26
1999,5,40708,45.06
1999,6,40708,2.51
1999,7,40708,9.21
1999,8,40708,3.24
1999,9,40708,14.33
1999,10,40708,62.21
1999,11,40708,29.92
1999,12,40708,3.02
2000,1,40708,34.34
2000,2,40708,23.31
2000,3,40708,97.5
2000,4,40708,16.71
2000,5,40708,16.71
2000,6,40708,6.0
2000,7,40708,5.12
2000,8,40708,4.11
2000,9,40708,7.84
2000,10,40708,37.16
2000,11,40708,35.93
2000,12,40708,18.15
2001,1,40708,19.66
2001,2,40708,2.44
2001,3,40708,13.64
2001,4,40708,38.84
2001,5,40708,19.63
2001,6,40708,0.1
2001,7,40708,3.8
2001,8,40708,4.82
2001,9,40708,1.91
2001,10,40708,53.35
2001,11,40708,39.83
2001,12,40708,23.83
2002,1,40708,8.92
2002,2,40708,4.3
2002,3,40708,21.84
2002,4,40708,54.06
2002,5,40708,55.23
2002,6,40708,0.62
2002,7,40708,29.21
2002,8,40708,3.5
2002,9,40708,1.01
2002,10,40708,4.51
2002,11,40708,27.64
2002,12,40708,41.08
2003,1,40708,23.83
2003,2,40708,24.29
2003,3,40708,52.38
2003,4,40708,75.4
2003,5,40708,26.95
2003,6,40708,13.23
2003,7,40708,0.9
2003,8,40708,13.4
2003,9,40708,6.05
2003,10,40708,2.87
2003,11,40708,21.02
2003,12,40708,16.86
2004,1,40708,19.82
2004,2,40708,6.93
2004,3,40708,23.25
2004,4,40708,71.52
2004,5,40708,73.84
2004,6,40708,2.3
2004,7,40708,34.31
2004,8,40708,0.01
2004,9,40708,0.03
2004,10,40708,26.81
2004,11,40708,53.3
2004,12,40708,31.2
2005,1,40708,16.34
2005,2,40708,13.92
2005,3,40708,33.52
2005,4,40708,24.63
2005,5,40708,81.05
2005,6,40708,16.12
2005,7,40708,5.24
2005,8,40708,1.9
2005,9,40708,14.93
2005,10,40708,22.11
2005,11,40708,45.21
2005,12,40708,5.61
2006,1,40708,30.34
2006,2,40708,17.11
2006,3,40708,22.22
2006,4,40708,50.94
2006,5,40708,16.32
2006,6,40708,0.02
2006,7,40708,0.01
2006,8,40708,0.0
2006,9,40708,3.52
2006,10,40708,35.75
2006,11,40708,23.05
2006,12,40708,17.27
2007,1,40708,13.04
2007,2,40708,26.85
2007,3,40708,57.5
2007,4,40708,86.53
2007,5,40708,18.82
2007,6,40708,25.35
2007,7,40708,3.22
2007,8,40708,6.16
2007,9,40708,0.03
2007,10,40708,4.54
2007,11,40708,12.64
2007,12,40708,51.32
2008,1,40708,7.42
2008,2,40708,39.87
2008,3,40708,18.73
2008,4,40708,14.31
2008,5,40708,33.69
2008,6,40708,1.46
2008,7,40708,2.45
2008,8,40708,2.03
2008,9,40708,23.63
2008,10,40708,70.36
2008,11,40708,4.05
2008,12,40708,15.56
2009,1,40708,7.15
2009,2,40708,11.74
2009,3,40708,6.1
2009,4,40708,38.35
2009,5,40708,30.42
2009,6,40708,33.05
2009,7,40708,0.24
2009,8,40708,2.12
2009,9,40708,38.17
2009,10,40708,5.27
2009,11,40708,53.48
2009,12,40708,15.53
2010,1,40708,18.02
2010,2,40708,22.1
2010,3,40708,39.66
2010,4,40708,58.99
2010,5,40708,40.15
2010,6,40708,20.65
2010,7,40708,0.02
2010,8,40708,19.43
2010,9,40708,1.35
2010,10,40708,7.15
2010,11,40708,1.51
2010,12,40708,0.23
2011,1,40708,17.98
2011,2,40708,43.22
2011,3,40708,24.45
2011,4,40708,36.56
2011,5,40708,37.38
2011,6,40708,8.76
2011,7,40708,1.34
2011,8,40708,6.55
2011,9,40708,15.55
2011,10,40708,32.68
2011,11,40708,39.08
2011,12,40708,11.31
2012,1,40708,18.96
2012,2,40708,4.09
2012,3,40708,42.69
2012,4,40708,28.72
2012,5,40708,72.47
2012,6,40708,24.04
2012,7,40708,20.84
2012,8,40708,1.72
2012,9,40708,11.17
2012,10,40708,0.84
2012,11,40708,36.88
2012,12,40708,19.91
2013,1,40708,18.52
2013,2,40708,18.76
2013,3,40708,14.37
2013,4,40708,29.3
2013,5,40708,55.52
2013,6,40708,27.33
2013,7,40708,0.02
2013,8,40708,23.61
2013,9,40708,0.13
2013,10,40708,17.87
2013,11,40708,34.92
2013,12,40708,32.06
2014,1,40708,5.74
2014,2,40708,21.02
2014,3,40708,20.38
2014,4,40708,19.69
2014,5,40708,27.87
2014,6,40708,15.34
2014,7,40708,9.04
2014,8,40708,0.41
2014,9,40708,10.41
2014,10,40708,90.72
2014,11,40708,26.48
2014,12,40708,13.81
2015,1,40708,12.76
2015,2,40708,38.36
2015,3,40708,34.87
2015,4,40708,13.14
2015,5,40708,32.87
2015,6,40708,1.02
2015,7,40708,2.67
2015,8,40708,26.23
2015,9,40708,24.6
2015,10,40708,80.06
2015,11,40708,16.36
2015,12,40708,16.34
2016,1,40708,25.36
2016,2,40708,18.82
2016,3,40708,28.39
2016,4,40708,57.07
2016,5,40708,20.55
2016,6,40708,10.87
2016,7,40708,3.54
2016,8,40708,0.01
2016,9,40708,7.94
2016,10,40708,36.63
2016,11,40708,8.52
2016,12,40708,32.98
2017,1,40708,7.07
2017,2,40708,28.1
2017,3,40708,19.76
2017,4,40708,22.43
2017,5,40708,30.4
2017,6,40708,2.91
2017,7,40708,9.61
2017,8,40708,1.31
2017,9,40708,0.33
2017,10,40708,44.43
2017,11,40708,9.39
2017,12,40708,6.12
2018,1,40708,27.07
2018,2,40708,23.97
2018,3,40708,17.94
2018,4,40708,28.29
2018,5,40708,46.98
2018,6,40708,15.85
2018,7,40708,4.3
2018,8,40708,0.94
2018,9,40708,9.44
2018,10,40708,22.68
2018,11,40708,24.64
2018,12,40708,49.57
2019,1,40708,30.86
2019,2,40708,39.67
2019,3,40708,49.28
2019,4,40708,27.21
2019,5,40708,22.73
2019,6,40708,11.44
2019,7,40708,0.12
2019,8,40708,2.45
2019,9,40708,15.53
2019,10,40708,53.69
2019,11,40708,16.27
2019,12,40708,3.12
2020,1,40708,26.21
2020,2,40708,24.01
2020,3,40708,14.76
2020,4,40708,52.31
2020,5,40708,35.54
2020,6,40708,6.95
2020,7,40708,5.07
2020,8,40708,9.2
2020,9,40708,4.45
2020,10,40708,30.61
2020,11,40708,68.2
2020,12,40708,47.13
2021,1,40708,12.72
2021,2,40708,23.32
2021,3,40708,17.7
2021,4,40708,6.1
2021,5,40708,20.17
2021,6,40708,1.03
2021,7,40708,13.27
2021,8,40708,1.13
2021,9,40708,0.54
2021,10,40708,18.35
2021,11,40708,14.71
2021,12,40708,26.35
2022,1,40708,56.16
2022,2,40708,25.85
2022,3,40708,28.44
2022,4,40708,58.04
2022,5,40708,35.06
2022,6,40708,3.84
2022,7,40708,0.53
2022,8,40708,0.01
2022,9,40708,1.15
2022,10,40708,33.63
2022,11,40708,7.16
2022,12,40708,1.9
2023,1,40708,23.04
2023,2,40708,6.17
2023,3,40708,41.72
2023,4,40708,7.94
2023,5,40708,95.13
2023,6,40708,12.43
2023,7,40708,5.01
2023,8,40708,0.72
2023,9,40708,13.0
2023,10,40708,13.91
2023,11,40708,3.6
2023,12,40708,19.22
2024,1,40708,47.37
2024,2,40708,11.52
2024,3,40708,18.83
2024,4,40708,47.4
